Title,Description,Identifier,DatePosted,ValidThrough,Qualifications,ExperienceMonths,OccupationalCategory,Responsibilities,Industry,Skills,SpecialCommitments,WorkHours,EmploymentType,OrganizationName,OrganizationType,OrganizationSameAs,OrganizationLogo,LocationLocality,LocationRegion,LocationPostalCode,LocationStreetAddress,LocationCountry
Experienced Associate Transformation Analytics Customer Transformation,"   A career in our Advisory Acceleration Centre is the natural extension of PwC s leading class global delivery capabilities     We provide premium, cost effective, high quality services that support process quality and delivery capability in support for client engagements     As an Associate, youll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution         PwC Professional skills and responsibilities for this management level include but are not limited to:         - Prefer prior experience and hands on knowledge of various data processes, including but not limited to:         - Understanding data and the analysis required to align and conform data structures to integrate with the MDM Enterprise Data Architecture         - Demonstrating knowledge of Data Modeling tools such as ER Studio and Erwin         - Demonstrating development of enterprise Conceptual, Logical and Physical data models (Enterprise Data Models)         - Demonstrating guidelines around utilization and extension of Enterprise Data Models         - Possessing the aptitude to understand how information flows across business functions         - Demonstrating the aptitude for converting business-based user stories and workflows to operational data elements         - Demonstrates an aptitude for understanding impact of business and technical changes - how they apply to current operations         - Experience with data lineage, information lifecycle management         - Hands on experience with SQL         - Strong analytical skills to support operationalization         - Demonstrates aptitude towards or has prior relevant experience with building and optimizing data pipelines, architectures and data sets               Basic consulting skills:           -Business experience, either directly or via being a Business Analyst (or similar) role on a previous project         -Communication and visualization of data and technical concepts in business terms          -Understands business requirements and solution designs for the best possible solution to business need         -Comfortable speaking to and taking calls from client and with working team   ",241123500265,2023-11-24,2024-02-22,EducationalOccupationalCredential,24,Data Science & Analytics,Business Intelligence & Analytics - Other,Accounting / Auditing,"Leadership development, Data modeling, Consulting, Data structures, Customer Associate, Process quality, Management, Operations, Analytics, SQL",-,9am-6pm,"Full Time, Permanent",PwC Service Delivery Center,Organization,PwC Service Delivery Center,https://img.naukri.com/logo_images/v3/1428182.gif,"Mumbai, Hyderabad, Bengaluru","Mumbai, Hyderabad, Bengaluru",-,-,-
S&C Global Network - AI - Supply Chain Analytics - Consultant,"Entity :- Accenture Strategy & Consulting Team :- Strategy & Consulting Global Network Practice :-  Supply Chian Analytics Title :- Ind & Func AI Decision Science Consultant Job location :- Bangalore/Gurgaon/Hyderabad/ Mumbai Explore an Exciting Career at Accenture Do you believe in creating an impact? Are you a problem solver who enjoys working on transformative strategies for global clients? Are you passionate about being part of an inclusive, diverse, and collaborative culture? Then, this is the right place for you! Welcome to a host of exciting global opportunities in Accenture Strategy and Consulting Candidate should have good understanding of statistics/analytical/optimization methods and approaches. The ideal candidate should be able to bring in meaningful data driven insights supporting with statistical concepts and apply the same in wider Supply Chain area. The candidate is expected to use data science skills to solve client's business problem in the supply chain area. The candidate should have functional skill set and Supply Chain domain knowledge with ability to apply data science skill set to solve supply chain problems. Additionally, the role would require contributing towards asset development initiatives. Mandatory Skills: Must have: Proficiency in data modeling developed through client projects.  Extensive use of data-driven techniques including exploratory data analysis and data pre-processing to solve business problems.  Proficient in using Python/PySpark programming for data manipulation, data visualization, and machine learning models with good hands-on experience. Proficiency in any one of the Cloud solutions Azure, GCP or AWS Proficiency in SQL for data preparation, manipulation, and descriptive analysis Proficient in supply chain domain  Excellent written and oral communication skills Good to have: Experience on Simulation and Optimization Visualization packages like Tableau/ Power BI Exposure to tools like BY/ Anaplan/ o9/ Kinaxis /SAP IBP Exposure to Client interaction Exposure to business platforms (o9/Kinaxis/BY)",120424911359,2024-04-12,2024-07-11,EducationalOccupationalCredential,60,Data Science & Analytics,Analytics Consultant,IT Services & Consulting,"python, data manipulation, pyspark, data modeling, data visualization, anaplan, supply chain, microsoft azure, power bi, machine learning, supply, data preparation, sql, tableau, descriptive analysis, sap ibp, cloud applications, gcp, supply chain consulting, aws",-,9am-6pm,"Full Time, Permanent",Accenture,Organization,Accenture,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,"Mumbai, Hyderabad","Mumbai, Hyderabad",-,-,-
S&C Global Network - AI - Supply Chain Analytics - Consultant,"Entity :- Accenture Strategy & Consulting Team :- Global Network Data & AI Practice :- Supply Chian Analytics  Title :- Ind & Func AI Decision Science Consultant Job location :- Bangalore/Gurgaon/Hyderabad/ Mumbai Accenture Global Network  - Data & AI practice help our clients grow their business in entirely new ways. Analytics enables our clients to achieve high performance through insights from data - insights that inform better decisions and strengthen customer relationships. From strategy to execution, Accenture works with organizations to develop analytic capabilities - from accessing and reporting on data to predictive modelling - to outperform the competition As part of our Data & AI practice, you will join a worldwide network of smart and driven colleagues experienced in leading AI/ML/Statistical tools, methods and applications. From data to analytics and insights to actions, our forward-thinking consultants provide analytically-informed, issue-based insights at scale to help our clients improve outcomes and achieve high performance. Explore an Exciting Career at Accenture Do you believe in creating an impact? Are you a problem solver who enjoys working on transformative strategies for global clients? Are you passionate about being part of an inclusive, diverse, and collaborative culture? Then, this is the right place for you! Welcome to a host of exciting global opportunities in Accenture Strategy and Consulting Candidate should have good understanding of statistics/analytical/optimization methods and approaches. The ideal candidate should be able to bring in meaningful data driven insights supporting with statistical concepts and apply the same in wider Supply Chain area. The candidate is expected to use data science skills to solve client's business problem in the supply chain area. The candidate should have functional skill set and Supply Chain domain knowledge with ability to apply data science skill set to solve supply chain problems. Additionally, the role would require contributing towards asset development initiatives. Qualification Experience and Education: 5-6 years of experience in Machine Learning and/or Optimization Techniques. Master's degree in technology or engineering or quantitative field (e.g. MSc in Statistics and Operations Research, M Tech in Industrial Engineering, Applied Math/Statistics, Computer Science)  Certifications in any one or two of the areas will be an added advantage:Python, AI/ML, Optimization, Simulation, any of the cloud platforms (Azure/ GCP/ AWS). Mandatory Skills: Must have: Proficiency in data modeling developed through client projects.  Extensive use of data-driven techniques including exploratory data analysis and data pre-processing to solve business problems.  Proficient in using Python/PySpark programming for data manipulation, data visualization, and machine learning models with good hands-on experience. Proficiency in any one of the Cloud solutions Azure, GCP or AWS Proficiency in SQL for data preparation, manipulation, and descriptive analysis Proficient in supply chain domain  Excellent written and oral communication skills Good to have: Experience on Simulation and Optimization Visualization packages like Tableau/ Power BI Exposure to tools like BY/ Anaplan/ o9/ Kinaxis /SAP IBP Exposure to Client interaction Exposure to business platforms (o9/Kinaxis/BY)",120424903479,2024-04-12,2024-07-11,EducationalOccupationalCredential,60,Data Science & Analytics,Analytics Consultant,IT Services & Consulting,"python, data manipulation, pyspark, data modeling, data visualization, anaplan, supply chain, microsoft azure, power bi, machine learning, data preparation, artificial intelligence, sql, tableau, descriptive analysis, sap ibp, cloud applications, gcp, aws, ml",-,9am-6pm,"Full Time, Permanent",Accenture,Organization,Accenture,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,"Mumbai, Hyderabad, Gurugram","Mumbai, Hyderabad, Gurugram",-,-,-
S&C Global Network - AI - Supply Chain Analytics - Analyst,"Entity :- Accenture Strategy & Consulting Team :- Strategy & Consulting Global Network Practice :-  Supply Chian Analytics Title :- Ind & Func AI Decision Science Analyst Job location :- Bangalore/Gurgaon/Hyderabad/ Mumbai Explore an Exciting Career at Accenture Do you believe in creating an impact? Are you a problem solver who enjoys working on transformative strategies for global clients? Are you passionate about being part of an inclusive, diverse, and collaborative culture? Then, this is the right place for you! Welcome to a host of exciting global opportunities in Accenture Strategy and Consulting Candidate should have good understanding of statistics/time series forecasting/Optimization methods and approaches. The candidate should be able to bring in meaningful data driven insights supporting with statistical concepts and apply the same in wider Supply Chain area. The candidate is expected to use data science skills to solve client's business problem in the supply chain area. Additionally, the role would require contributing towards asset development initiatives. Mandatory Skills: Must have: Proficiency in data modeling developed through client projects.  Extensive use of data-driven techniques including exploratory data analysis and data pre-processing to solve business problems.  Proficient in using Python/PySpark programming for data manipulation, data visualization, and machine learning models with good hands-on experience. Proficiency in any one of the Cloud solutions Azure, GCP or AWS Proficiency in SQL for data preparation, manipulation, and descriptive analysis Proficient in supply chain domain  Excellent written and oral communication skills Good to have: Experience on Simulation and Optimization Visualization packages like Tableau/ Power BI Exposure to tools like BY/ Anaplan/ o9/ Kinaxis /SAP IBP Exposure to Client interaction Exposure to business platforms (o9/Kinaxis/BY)",120424903401,2024-04-12,2024-07-11,EducationalOccupationalCredential,24,Data Science & Analytics,Analytics Consultant,IT Services & Consulting,"python, data manipulation, pyspark, data modeling, data visualization, anaplan, sap, data analysis, supply chain, microsoft azure, power bi, machine learning, supply, data preparation, sql, tableau, descriptive analysis, sap ibp, cloud applications, gcp, ibp, aws",-,9am-6pm,"Full Time, Permanent",Accenture,Organization,Accenture,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,"Mumbai, Hyderabad, Gurugram","Mumbai, Hyderabad, Gurugram",-,-,-
S&C Global Network - AI - Supply Chain Analytics - Analyst,"Entity :- Accenture Strategy & Consulting Team :- Global Network Data & AI Practice :- Supply Chian Analytics  Title :- Ind & Func AI Decision Science Analyst Job location :- Bangalore/Gurgaon/Hyderabad/ Mumbai Accenture Global Network  - Data & AI practice help our clients grow their business in entirely new ways. Analytics enables our clients to achieve high performance through insights from data - insights that inform better decisions and strengthen customer relationships. From strategy to execution, Accenture works with organizations to develop analytic capabilities - from accessing and reporting on data to predictive modelling - to outperform the competition As part of our Data & AI practice, you will join a worldwide network of smart and driven colleagues experienced in leading AI/ML/Statistical tools, methods and applications. From data to analytics and insights to actions, our forward-thinking consultants provide analytically-informed, issue-based insights at scale to help our clients improve outcomes and achieve high performance. Explore an Exciting Career at Accenture Do you believe in creating an impact? Are you a problem solver who enjoys working on transformative strategies for global clients? Are you passionate about being part of an inclusive, diverse, and collaborative culture? Then, this is the right place for you! Welcome to a host of exciting global opportunities in Accenture Strategy and Consulting Candidate should have good understanding of statistics/time series forecasting/Optimization methods and approaches. The candidate should be able to bring in meaningful data driven insights supporting with statistical concepts and apply the same in wider Supply Chain area. The candidate is expected to use data science skills to solve client's business problem in the supply chain area. Additionally, the role would require contributing towards asset development initiatives. Qualification Experience and Education: 2-3 years of experience in Machine Learning, Time series forecasting or Optimization Techniques. Master's degree in technology or engineering or quantitative field (e.g. MSc in Statistics and Operations Research, M.Tech. in Industrial Engineering, Applied Math/Statistics, Computer Science, MBA in Operations).  Certifications in any one or two of the areas will be an added advantage:Python, AI/ML, Optimization, Simulation, any of the cloud platforms (Azure/ GCP/ AWS). Mandatory Skills: Must have: Proficiency in data modeling developed through client projects.  Extensive use of data-driven techniques including exploratory data analysis and data pre-processing to solve business problems.  Proficient in using Python/PySpark programming for data manipulation, data visualization, and machine learning models with good hands-on experience. Proficiency in any one of the Cloud solutions Azure, GCP or AWS Proficiency in SQL for data preparation, manipulation, and descriptive analysis Proficient in supply chain domain  Excellent written and oral communication skills Good to have: Experience on Simulation and Optimization Visualization packages like Tableau/ Power BI Exposure to tools like BY/ Anaplan/ o9/ Kinaxis /SAP IBP Exposure to Client interaction Exposure to business platforms (o9/Kinaxis/BY)",120424903348,2024-04-12,2024-07-11,EducationalOccupationalCredential,24,Data Science & Analytics,Analytics Consultant,IT Services & Consulting,"python, data manipulation, pyspark, data modeling, data visualization, time series analysis, supply chain, microsoft azure, power bi, machine learning, data preparation, artificial intelligence, sql, tableau, descriptive analysis, cloud applications, gcp, aws, ml",-,9am-6pm,"Full Time, Permanent",Accenture,Organization,Accenture,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,"Mumbai, Hyderabad, Gurugram","Mumbai, Hyderabad, Gurugram",-,-,-
S&C Global Network - AI - Supply Chain Analytics - Manager,"Entity :- Accenture Strategy & Consulting Team :- Strategy & Consulting Global Network Practice :-  Supply Chian Analytics Title :- Manager Job location :- Bangalore/Gurgaon/Hyderabad/ Mumbai Job Description CL 7 (Data Science Manager Supply Chain Planning) The ideal candidate shall be, An expert in Supply chain operations domain and Data Science skills. Responsible to solution architect, design, build, deploy, deliver, and monitor advanced analytics models for supply chain planning areas such as demand, supply, procurement, inventory, spares, etc. planning. Interface with clients to understand engineering/business problems and translate it into analytics problems that shall deliver insights for action and operational improvements. Take initiatives and collaborate with different Accenture internal teams and support driving sales. Provide innovation and thought leadership support to build key capability areas such as tools & technology, new solutions in supply chain planning and assets & accelerators development. Experience and Education: A minimum 7-9 years of experience in industrial/consulting or related areas is needed with at least 5 years of supply chain advanced analytics solutions design and delivery experience. Good to have global client experiences.  Ideal candidates should have a bachelor's degree preferably in Industrial/ Production/ Statistics/ Economics etc. and master's degree in Statistics/ Economics/ Operations Management/ Supply Chain/ Data Science, etc. Certifications in any one or two of the areas will be an added advantage:Python, AI/ML, Optimization, Simulation, any of the cloud platforms (Azure/ GCP/ AWS).",110424905162,2024-04-11,2024-07-10,EducationalOccupationalCredential,84,Data Science & Analytics,Analytics / BI Manager,IT Services & Consulting,"advanced analytics, supply chain, supply chain operations, industrial, data science, python, purchase, microsoft azure, logistics, supply, artificial intelligence, sales, supply chain planning, gcp, procurement, supply chain management, aws, inventory management, ml",-,9am-6pm,"Full Time, Permanent",Accenture,Organization,Accenture,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,"Mumbai, Hyderabad","Mumbai, Hyderabad",-,-,-
Sr. Business Analyst (with AEM experience),"       We are seeking a Senior Business Analyst with specialized experience in Adobe Experience Manager (AEM) to join our dynamic team     As a key member of our organization, you will be responsible for bridging the gap between business needs and technical solutions, particularly in the realm of digital experience management using AEM     The ideal candidate will possess a strong understanding of business processes, excellent communication skills, and deep expertise in leveraging AEM to drive business objective           Key Responsibilities:         Requirement Gathering and Analysis:         Collaborate with stakeholders to understand business objectives, requirements, and pain points related to digital experience management.     Conduct workshops, interviews, and surveys to elicit and document detailed business requirements.     Analyze and prioritize requirements to ensure alignment with organizational goals and AEM capabilities.         Solution Design and Documentation:         Work closely with technical teams and architects to translate business requirements into technical specifications.     Create comprehensive solution designs, user stories, process flows, and wireframes to articulate the proposed AEM solutions.     Develop detailed documentation including functional specifications, data models, and system integration requirements.         AEM Configuration and Customization:         Leverage your expertise in AEM to configure and customize the platform to meet business needs.     Collaborate with developers and system administrators to implement AEM components, templates, and workflows.     Ensure adherence to best practices and standards in AEM development and configuration.         Testing and Quality Assurance:         Define test scenarios and cases to validate AEM solutions against business requirements.     Conduct functional, integration, and regression testing to ensure the stability and quality of AEM implementations.     Coordinate user acceptance testing (UAT) and facilitate feedback gathering and resolution of issues.         Stakeholder Communication and Training:         Act as a liaison between business stakeholders, development teams, and project managers to ensure clear communication and alignment.     Provide training and support to business users on AEM functionalities, workflows, and best practices.     Communicate project status, risks, and issues to stakeholders in a timely manner.         Qualifications:         Bachelor s degree in Business Administration, Information Technology, Computer Science, or related field. Master s degree preferred.     Proven experience as a Business Analyst, with a focus on digital experience management and Adobe Experience Manager (AEM).     Strong understanding of content management systems (CMS), digital marketing, and web technologies.     In-depth knowledge of AEM architecture, components, templates, and workflows.     Experience with Agile/Scrum methodologies and tools such as JIRA.     Excellent analytical, problem-solving, and communication skills.     Ability to work effectively in a collaborative team environment and manage multiple priorities.     Adobe certification in AEM or related technologies is a plus.     ",290324501669,2024-03-29,2024-06-27,EducationalOccupationalCredential,36,Data Science & Analytics,Business Analyst,IT Services & Consulting,"Training, Content management, Manager Quality Assurance, System integration, CMS, Regression testing, Adobe, JIRA, Information technology",-,9am-6pm,"Full Time, Permanent",Photon,Organization,Photon,https://img.naukimg.com/logo_images/groups/v1/4619011.gif,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",-,-,-
Sr. Specialist - Workforce Management,"                   7+ years of experience in workforce management with at least 3+ years of experience in workforce planning, data analytics, business analytics or in a similar role.              You are familiar with forecasting techniques and statistical models.              You have experience working with Amazon Connect, Avaya, NICE IEX, Calabrio or similar tools.              You have experience working with data visualization tools (Microsoft Power BI, Tableau, Looker etc.) and turning complex data into an easy-to-follow story.              Strong attention to detail and ability to multitask with excellent communication skills.              You are a self-starter who is comfortable working autonomously.              Post-secondary education in an Engineering or Business Administration (preference to those who have obtained their degree/diploma).                    Some extra skills that would be great:              You are familiar with Python, R or any other statistical model scripting language.              You are familiar with SQL queries and databases.                    Additional Job Description              In this role, you will:              Work with the WFM leadership to design and implement cost-effective resource model ensuring service delivery across all projects.              Produce weekly, monthly, and quarterly forecasts and staffing requirements needed to meet the service level targets within budget.              Identify operational gaps and help to improve the processes to keep teams as efficient as possible.              Monitor and evaluate the data related to workforce management, pinpointing trends, performance indicators and productivity measures.              Conduct regular analysis on assigned projects to assist the leadership with important strategic decisions.                  ",150324501605,2024-03-15,2024-06-13,EducationalOccupationalCredential,84,Data Science & Analytics,Analytics Consultant,IT Services & Consulting,"BPO, Workforce management, Staffing, Business analytics, Agile, Customer service, microsoft, Forecasting, Operations, Consumer electronics",-,9am-6pm,"Full Time, Permanent",TELUS International,Organization,TELUS International,https://img.naukimg.com/logo_images/groups/v1/250496.gif,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",-,-,-
Forecasting and Capacity Planning Specialist - WFM,"         5+ years of experience in workforce management with at least 2+ years of experience in workforce planning, data analytics, business analytics or in a similar role.                 You are familiar with forecasting techniques and models.             You have experience working with Amazon Connect, Avaya, NICE IEX, Calabrio or similar tools.             You have experience working with data visualization tools (Microsoft Power BI, Tableau, Looker etc) and turning complex data into an easy-to-follow story.             Strong attention to detail and ability to multitask with excellent communication skills.             You are a self-starter who is comfortable working autonomously.             Post-secondary education in an Engineering or Business Administration (preference to those who have obtained their degree/diploma).               Some extra skills that would be great:               You are familiar with Python, R or any other statistical model scripting language.             You are familiar with SQL queries and databases.                    Additional Job Description                  In this role, you will:               Create and manage daily and interval level forecast models ensuring optimize capacity and staffing models to achieve service level targets.             Generate analytical and performance reports to empower support teams in leveraging data for enhancing crucial operational metrics like AHT, Shrinkage and Occupancy.             Take ownership of operational and workforce management model modifications, striving for enhanced efficiencies.             Perform ad hoc scenario simulations and sensitivity analysis to guarantee the best resource allocation.             Manage workforce management tools, ensuring alignment of all inputs with current business requirements.             Implement basic data automations to streamline workforce management processes and boost efficiencies.                 ",140324502574,2024-03-14,2024-06-12,EducationalOccupationalCredential,60,Data Science & Analytics,Analytics Consultant,IT Services & Consulting,"BPO, Service level, Staffing, Business analytics, Analytical, Customer service, microsoft, Forecasting, Operations, Capacity planning",-,9am-6pm,"Full Time, Permanent",TELUS International,Organization,TELUS International,https://img.naukimg.com/logo_images/groups/v1/250496.gif,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",-,-,-
Data Analyst - Health & Welfare Domain,"         Understand RDBMS Schema, data Conversion process, ETL Process and data models.                 Develop and execute automated test frameworks to test source to target mapping, data load and extract process, data pre-processing, transformation, aggregation, different logics, integration from various sources, and data collection tools and distribution platforms.             Analyze test results and drive resolution of issues.             Independently handling at least one of the data processes.             Mentoring team members, and achieving excellence in project process adherence and delivery discipline.             Out of the box thinking, able to suggest changes in process and technology to improve productivity.              Requirement discussion with stakeholders.             Succeeding will require the following core qualifications and skills.             Education - BCA/BSc/BTech/MCA.             Bachelor s or masters Degree preferably in Computer/IT Engineering or Information Science.             Hands-on experience of any ETL tool.             Strong SQL Hands-on experience and well versed in DBMS concepts.             Sound understanding of US/Canada HW Benefits Administration domain.             Good understanding of functional and regression testing in the context of data testing.             Ability to do root cause analysis and impact analysis of testing results. Able to zero down the analysis to reach at exact issue.             Ability to effectively communicate and collaborate with global business and technical teams.             Self-starter and quick learner.             Ability to adapt and work in a fast-paced environment independently with little or no supervision.                           Good to Have:               Good communication skills (oral and written).             Analytical, Independent, Inquisitive and Detail Oriented.             Have a broad IT outlook and be eager to learn new things.             Be attentive to details, be diligent, responsible, and persistent.             Have a critical mindset aimed to find errors.                 ",10324500896,2024-03-01,2024-05-30,EducationalOccupationalCredential,72,Data Science & Analytics,Data Analyst,IT Services & Consulting,"BPO, Data conversion, RDBMS, Analytical, Schema, Data collection, Customer service, DBMS, Consumer electronics, SQL",-,9am-6pm,"Full Time, Permanent",TELUS International,Organization,TELUS International,https://img.naukimg.com/logo_images/groups/v1/250496.gif,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",-,-,-
Payer Data Analyst,"     Minimum Qualification    Bachelors degree or higher        Indicative Experience    0-6 months.                  Good to Have          Experience in managed markets, pharma market access ecosystem, or commercial health insurance industry.          Experience analyzing large healthcare data sets, such as claims and formulary coverage data.          Previous experience using tools such as MS Excel or database technology to analyze, compare, and map disparate data sets.          Ability to provide input to the management and maintenance of healthcare payer master data hierarchy, attributes, and structure.          Process and project-minded able to improve existing processes and provide project estimates for data analysis and mapping.          Able to build reports such as data mapping rates, and/or provide additional analysis as needed.      communicator, able to convey information across a broad set of cross-functional stakeholders.                Required Competencies          Ability to adapt and work in a fast-paced, creative, and agile ecosystem.            Certification projects or relevant coursework during their full-time programs.           Must have strong visual and verbal communication Skills.          Experience and desire to work in a global delivery model from a permanent work-from-home position                 ",130324501243,2024-03-13,2024-06-11,EducationalOccupationalCredential,1,Data Science & Analytics,Data Analyst,IT Services & Consulting,"Health insurance, Data analysis, Claims, Project estimation, Pharma, Agile, Healthcare, Life sciences, Data Analyst, data mapping",-,9am-6pm,"Full Time, Permanent",Agilite Global Solutions,Organization,Agilite Global Solutions,-,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",-,-,-
Business Analyst,"   We are looking for (Job Title) to work on all aspects of project delivery engaging a complex stakeholder group across multiple global regions / product lines to execute global change programs in the Investment Banking domain.        Location:    Bangalore, Pune, Hyderabad, Gurgaon Chennai        Experience:    10+ Years        Role Description-              Must have hands on experience as a BA either in data migration projects (for life insurance) and/or experience new implementing handling CRs in e BAO PAS or any life insurance PAS and/or experience working on interface requirements in any life insurance PAS implementations.      Must have strong knowledge and hands on experience working on life ins. Policy admin, strong understanding of policy lifecycle various business processes involved.          ",220224500624,2024-02-22,2024-05-22,EducationalOccupationalCredential,120,Data Science & Analytics,Business Analyst,Banking,"Relationship management, Data migration, Business Analyst, Business analysis, Technical design, Management consulting, Investment banking, Project delivery, User acceptance testing, Financial services",-,9am-6pm,"Full Time, Permanent",Capco,Organization,Capco,https://img.naukimg.com/logo_images/groups/v1/4586641.gif,"Hyderabad, Pune, Chennai, Gurugram, Bengaluru","Hyderabad, Pune, Chennai, Gurugram, Bengaluru",-,-,-
Salesforce Technical Architect - Analytics,"     Salesforce Industries goal is to deliver rapid, value-driven customer solutions for complex business problems. Our Salesforce Developers are key players in this objective, as they can demonstrate native Industry Cloud functionality to deliver customer requirements quickly with minimal customization.     you'll be responsible for turning the program design of our Solution Architects and Technical Architects into a configured solution that meets the customer s needs.     Working predominantly in Agile scrum teams, you'll be building out sophisticated dashboards and reports with CRMA.     you'll be involved in all phases of the project lifecycle - from low-level design and development through to deployment and post-production support.     you'll acquire a deep product knowledge of the Salesforce Industries vertical applications, and will be able to mentor customer (and system integrator) resources and accelerate knowledge transfer to them.     you'll also act as a champion in the wider Salesforce Industries partner ecosystem, sharing standard processes, lessons learned, and time-saving techniques.         Minimum Requirements:         10+ years experience working on deployment teams, ideally using Agile development techniques.     Experience in designing and building solutions in the CRMA dashboard and reports.     Experience in E2E Analytics delivery, including requirement gathering, planning, design, development, deployment, and customer interactions     Experience in data transformation using recipes and data flows. Crafting models using Einstein Discovery for predictive and prescriptive analytics.     Experience in building Salesforce flows for automating the next best action.     Proven track record of successful delivery of customer projects, preferably enterprise CRM implementations.     A self-starter, adept at picking up new skills and technologies, and eager to break new ground.     Excellent communication skills, equally comfortable with crafting emails as leading a white-board discussion with customers or delivering a technical presentation.     Vision to help us take our company to the next level.     Degree or equivalent relevant experience required. Experience will be evaluated based on the core proficiencies for the role (eg extracurricular leadership roles, military experience, volunteer roles, work experience, etc)         Technical Requirements:         CRMA, Einstein Discovery, Recipes, data flows, dashboard creation, Salesforce flows, NBA     Salesforce (Apex, Lightning)     Integration with external systems,, SQL Joins     Data modeling     Process modeling tools and standard methodologies             Preferred Requirements   :       Certified on     Tableau CRM & Einstein Discovery Consultant      Tableau Desktop, Tableau PrepBuilder, BI Visual Analytics     Knowledge of OmniStudio (Integration Procedures, Data Raptors, Omniscripts)     Excellent interpersonal and communication skills.     Salesforce Platform Developer / Platform App Builder certification     ",120424501356,2024-04-12,2024-07-11,EducationalOccupationalCredential,120,Data Science & Analytics,Business Intelligence & Analytics - Other,Internet,"Post production, tableau, Production support, Data modeling, Design development, Deployment, Analytics, SQL, CRM, Salesforce",-,9am-6pm,"Full Time, Permanent",Salesforce,Organization,Salesforce,https://img.naukri.com/logo_images/v3/1882140.gif,"Hyderabad, Pune, Gurugram, Jaipur, Bengaluru","Hyderabad, Pune, Gurugram, Jaipur, Bengaluru",-,-,-
